Nome Árbitro,Apelido,Estreia,Idade na estreia,Temporadas," Jogos"," Cartões Amarelos",Média Amarelos/Jogo,,Expulsões (Dois Amarelos),Média Expulsões (2A) / Jogo,," Expulsões (Vermelho Direto)",Média Expulsões (Direta) / Jogo,," Pênaltis Marcados",Média (Pênaltis / Jogo),,Estado
Leandro Pedro Vuaden,Leandro Vuaden,17/06/2007,,17,284,1146,4,04,16,0,06,42,0,15,89,0,31,
Wilton Pereira Sampaio,Wilton Sampaio,04/11/2007,25 anos 10 meses 07 dias,18,256,1323,5,17,43,0,17,21,0,08,72,0,28,
Marcelo de Lima Henrique,Marcelo de Lima Henrique,03/05/2007,,18,252,1196,4,75,38,0,15,41,0,16,86,0,34,RJ
Héber Roberto Lopes,Héber Lopes,01/08/2001,29 anos 19 dias,18,239,979,4,10,25,0,10,45,0,19,56,0,23,
Anderson Daronco,Anderson Daronco,30/10/2011,30 anos 09 meses 25 dias,14,228,979,4,29,20,0,09,25,0,11,56,0,25,
Ricardo Marques Ribeiro,Ricardo Marques Ribeiro,29/08/2007,,15,217,914,4,21,21,0,10,34,0,16,30,0,14,MG
Raphael Claus,Raphael Claus,19/05/2012,32 anos 08 meses 13 dias,13,215,973,4,53,20,0,09,33,0,15,65,0,30,
Luiz Flávio de Oliveira,Luiz Flávio de Oliveira,23/09/2007,,18,200,979,4,90,23,0,12,36,0,18,57,0,29,SP
Braulio da Silva Machado,Braulio da Silva Machado,04/05/2014,,11,162,882,5,44,23,0,14,33,0,20,41,0,25,
Péricles Bassols Pegado Cortez,Péricles Bassols,23/09/2007,,12,144,750,5,21,25,0,17,30,0,21,37,0,26,RJ
Wagner do Nascimento Magalhães,Wagner do Nascimento Magalhães,22/09/2011,,13,143,772,5,40,18,0,13,14,0,10,50,0,35,
André Luiz de Freitas Castro,André Luiz de Freitas Castro,16/07/2008,,15,142,684,4,82,24,0,17,22,0,15,43,0,30,
Sandro Meira Ricci,Sandro Meira Ricci,31/07/2008,33 anos 08 meses 12 dias,10,136,674,4,96,35,0,26,19,0,14,47,0,35,
Flavio Rodrigues de Souza,Flavio Rodrigues de Souza,22/05/2014,33 anos 09 meses 23 dias,11,133,564,4,24,16,0,12,26,0,20,41,0,31,
Dewson Fernando Freitas da Silva,Dewson Fernando Freitas da Silva,04/08/2011,,9,120,628,5,23,16,0,13,9,0,08,33,0,28,
Paulo César de Oliveira,Paulo César de Oliveira,23/04/2006,32 anos 04 meses 07 dias,8,118,555,4,70,29,0,25,19,0,16,30,0,25,
Bruno Arleu de Araújo,Bruno Arleu de Araújo,21/06/2015,32 anos 04 meses 07 dias,10,113,575,5,09,12,0,11,11,0,10,35,0,31,
Elmo Alves Resende Cunha,Elmo Alves Resende Cunha,03/05/2007,,11,105,525,5,00,27,0,26,12,0,11,22,0,21,GO
Jailson Macedo Freitas,Jailson Macedo Freitas,02/12/2007,,12,105,558,5,31,15,0,14,11,0,10,26,0,25,BA
Wilson Luiz Seneme,Wilson Seneme,30/04/2006,35 anos 07 meses 02 dias,8,102,504,4,94,20,0,20,23,0,23,20,0,20,
Wagner Reway,Wagner Reway,08/08/2009,28 anos 02 meses 25 dias,12,99,493,4,98,17,0,17,30,0,30,23,0,23,
Evandro Rogerio Roman,Evandro Rogerio Roman,14/12/2003,,9,96,422,4,40,20,0,21,39,0,41,22,0,23,PR
Savio Pereira Sampaio,Savio Pereira Sampaio,07/09/2016,,8,93,433,4,66,7,0,08,14,0,15,23,0,25,
Jean Pierre Goncalves Lima,Jean Pierre Goncalves Lima,31/08/2011,,12,91,346,3,80,7,0,08,8,0,09,24,0,26,
Carlos Eugênio Simon,Carlos Eugênio Simon,02/12/2001,36 anos 02 meses 29 dias,7,87,344,3,95,6,0,07,10,0,11,20,0,23,
Rodolpho Toski Marques,Rodolpho Toski Marques,05/06/2015,,8,86,439,5,10,8,0,09,9,0,10,21,0,24,
Salvio Fagundes Filho,Salvio Fagundes Filho,15/04/2006,37 anos 07 meses 01 dias,6,85,404,4,75,13,0,15,16,0,19,9,0,11,
Ramon Abatti,Ramon Abatti,13/09/2020,30 anos 11 meses 26 dias,5,85,380,4,47,6,0,07,15,0,18,21,0,25,
Leonardo Gaciba da Silva,Leonardo Gaciba da Silva,21/04/2004,32 anos 09 meses 26 dias,5,81,355,4,38,11,0,14,15,0,19,30,0,37,
Alício Pena Junior,Alício Pena Junior,01/08/2001,33 anos 06 meses 00 dias,9,81,499,6,16,15,0,19,26,0,32,12,0,15,
Franscisco Carlos do Nascimento,Franscisco Carlos do Nascimento,07/06/2009,31 anos 07 meses 29 dias,8,78,412,5,28,24,0,31,13,0,17,22,0,28,
Rafael Traci,Rafael Traci,29/05/2016,,6,76,380,5,00,5,0,07,11,0,14,21,0,28,
Marcelo Aparecido Ribeiro de Souza,Marcelo Aparecido Ribeiro de Souza,26/05/2010,,9,74,411,5,55,21,0,28,13,0,18,16,0,22,
Caio Max Augusto Vieira,Caio Max Augusto Vieira,14/08/2016,,9,73,331,4,53,10,0,14,6,0,08,21,0,29,
Paulo Roberto Alves Júnior,Paulo Roberto Alves Júnior,08/06/2015,32 anos 03 meses 01 dias,7,71,312,4,39,8,0,11,8,0,11,20,0,28,
Paulo Henrique de Godoy Bezerra,Paulo Henrique de Godoy Bezerra,16/04/2006,,8,66,352,5,33,10,0,15,17,0,26,9,0,14,SC
Marielson Alves Silva,Marielson Alves Silva,11/09/2014,,8,57,256,4,49,6,0,11,13,0,23,8,0,14,
Wagner Tardelli Azevedo,Wagner Tardelli Azevedo,16/05/2004,39 anos 10 meses 20 dias,5,56,258,4,61,3,0,05,7,0,13,12,0,21,
Pablo dos Santos Alves,Pablo dos Santos Alves,27/07/2008,,10,52,307,5,90,6,0,12,3,0,06,10,0,19,
Nielson Nogueira Dias,Nielson Nogueira Dias,31/05/2009,,8,51,274,5,37,14,0,27,6,0,12,26,0,51,
Igor Junior Benevenuto,Igor Junior Benevenuto,23/05/2014,,7,50,279,5,58,8,0,16,11,0,22,15,0,30,
Sergio da Silva Carvalho,Sergio da Silva Carvalho,04/08/2001,38 anos 03 meses 28 dias,4,49,253,5,16,5,0,10,12,0,24,8,0,16,
Vinicius Gonçalves Dias Araujo,Vinicius Gonçalves Dias Araujo,31/05/2015,36 anos 09 meses 08 dias,8,48,207,4,31,7,0,15,2,0,04,24,0,50,
Márcio Chagas da Silva,Márcio Chagas da Silva,28/10/2009,,5,46,236,5,13,8,0,17,1,0,02,6,0,13,
Djalma José Beltrami Teixeira,Djalma José Beltrami Teixeira,12/07/2006,40 anos 01 meses 27 dias,5,45,202,4,49,7,0,16,9,0,20,8,0,18,
Paulo Cesar Zanovelli,Paulo Cesar Zanovelli,06/06/2021,31 anos 04 meses 29 dias,4,45,258,5,73,13,0,29,7,0,16,9,0,20,
Edina Alves Batista,Edina Alves Batista,28/05/2019,,6,42,172,4,10,4,0,10,3,0,07,11,0,26,
Felipe Gomes da Silva,Felipe Gomes da Silva,22/07/2009,,8,41,241,5,88,7,0,17,7,0,17,6,0,15,
Felipe Fernandes,Felipe Fernandes,06/08/2019,,6,40,216,5,40,3,0,08,9,0,23,7,0,18,
Rodrigo D'Alonso Ferreira,Rodrigo D'Alonso Ferreira,31/08/2014,,6,39,157,4,03,3,0,08,1,0,03,10,0,26,
Cleber Wellington Abade,Cleber Wellington Abade,01/08/2001,,6,36,170,4,72,5,0,14,10,0,28,9,0,25,SP
Thiago Duarte Peixoto,Thiago Duarte Peixoto,29/05/2014,35 anos 02 meses 17 dias,6,36,132,3,67,5,0,14,5,0,14,7,0,19,
Gutemberg de Paula Fonseca,Gutemberg de Paula Fonseca," 24/06/2007",34 anos 11 meses 14 dias,5,35,215,6,14,14,0,40,8,0,23,9,0,26,RJ
Claudio Francisco Lima e Silva,Claudio Francisco Lima e Silva,12/09/2010,,8,35,166,4,74,4,0,11,3,0,09,9,0,26,
Wallace Nascimento Valente,Wallace Nascimento Valente,01/08/2001,,6,33,157,4,76,5,0,15,8,0,24,4,0,12,ES
Rodrigo Jose Pereira de Lima,Rodrigo Jose Pereira de Lima,10/11/2022,35 anos 07 meses 22 dias,3,32,199,6,22,6,0,19,7,0,22,9,0,28,
Guilherme Ceretta de Lima,Guilherme Ceretta de Lima,07/06/2008,,8,31,131,4,23,7,0,23,2,0,06,14,0,45,SP
Emerson de Almeida Ferreira,Emerson de Almeida Ferreira,31/08/2011,,8,31,142,4,58,-,-,4,0,13,6,0,19,,
Wilson Souza de Mendonça,Wilson Souza de Mendonça,30/04/2006,41 anos 10 meses 12 dias,4,29,101,3,48,1,0,03,5,0,17,4,0,14,
Fabrício Neves Corrêa,Fabrício Neves Corrêa,19/06/2011,,4,29,135,4,66,7,0,24,6,0,21,13,0,45,
Celio Amorim,Celio Amorim,11/05/2008,29 anos 03 meses 03 dias,6,28,166,5,93,8,0,29,3,0,11,2,0,07,
Arilson Bispo da Anunciação,Arilson Bispo da Anunciação,16/07/2008,,7,28,168,6,00,6,0,21,2,0,07,11,0,39,
José Henrique de Carvalho,José Henrique de Carvalho,15/04/2006,,5,27,190,7,04,7,0,26,4,0,15,7,0,26,SP
Grazianni Maciel Rocha,Grazianni Maciel Rocha,09/09/2012,,7,27,123,4,56,5,0,19,2,0,07,6,0,22,
Rafael Rodrigo Klein,Rafael Rodrigo Klein,06/10/2022,32 anos 06 meses 08 dias,3,27,162,6,00,1,0,04,3,0,11,12,0,44,
Leandro Bizzio Marinho,Leandro Bizzio Marinho,21/07/2012,,4,26,130,5,00,3,0,12,1,0,04,11,0,42,
Jefferson Ferreira Moraes,Jefferson Ferreira Moraes,05/12/2019,32 anos 08 meses 00 dias,4,26,118,4,54,3,0,12,4,0,15,8,0,31,
Dyorgines Jose Padovani,Dyorgines Jose Padovani,25/06/2017,,7,24,128,5,33,-,-,3,0,13,2,0,08,,
Cláudio Luciano Mercante Júnior,Cláudio Luciano Mercante Júnior,20/08/2006,,8,23,132,5,74,5,0,22,4,0,17,5,0,22,PE
Rodrigo Nunes de Sá,Rodrigo Nunes de Sá,09/05/2009,,8,23,111,4,83,6,0,26,1,0,04,6,0,26,
Giulliano Bozzano,Giulliano Bozzano,14/08/2002,,6,21,104,4,95,5,0,24,5,0,24,13,0,62,DF
Antonio Hora Filho,Antonio Hora Filho,15/07/2006,,6,21,87,4,14,4,0,19,5,0,24,1,0,05,SE
Flávio Rodrigues Guerra,Flávio Rodrigues Guerra,20/09/2009,,5,21,118,5,62,3,0,14,7,0,33,2,0,10,
Rodrigo Batista Raposo,Rodrigo Batista Raposo,02/12/2012,,6,21,73,3,48,1,0,05,2,0,10,8,0,38,
Clever Assunção Gonçalves/MG,Clever Assunção Gonçalves/MG,14/08/2002,,3,20,80,4,00,2,0,10,8,0,40,4,0,20,
