"Nome Árbitro","Apelido","Estreia","Idade na estreia","Temporadas"," Jogos","Cartões Amarelos","Expulsões (Dois Amarelos)"","Expulsões (Vermelho Direto)","Pênaltis Marcados","Estado"
Leandro Pedro Vuaden,Leandro Vuaden,17/06/2007,,17,"284","1146",16,"42","89",
Wilton Pereira Sampaio,Wilton Sampaio,04/11/2007,25 anos 10 meses 07 dias,18,"256","1323",43,"21","72",
Marcelo de Lima Henrique,Marcelo de Lima Henrique,03/05/2007,,18,"252","1196",38,"41","86",RJ
Héber Roberto Lopes,Héber Lopes,01/08/2001,29 anos 19 dias,18,"239","979",25,"45","56",
Anderson Daronco,Anderson Daronco,30/10/2011,30 anos 09 meses 25 dias,14,"228","979",20,"25","56",
Ricardo Marques Ribeiro,Ricardo Marques Ribeiro,29/08/2007,,15,"217","914",21,"34","30",MG
Raphael Claus,Raphael Claus,19/05/2012,32 anos 08 meses 13 dias,13,"215","973",20,"33","65",
Luiz Flávio de Oliveira,Luiz Flávio de Oliveira,23/09/2007,,18,"200","979",23,"36","57",SP
Braulio da Silva Machado,Braulio da Silva Machado,04/05/2014,,11,"162","882",23,"33","41",
Péricles Bassols Pegado Cortez,Péricles Bassols,23/09/2007,,12,"144","750",25,"30","37",RJ
Wagner do Nascimento Magalhães,Wagner do Nascimento Magalhães,22/09/2011,,13,"143","772",18,"14","50",
André Luiz de Freitas Castro,André Luiz de Freitas Castro,16/07/2008,,15,"142","684",24,"22","43",
Sandro Meira Ricci,Sandro Meira Ricci,31/07/2008,33 anos 08 meses 12 dias,10,"136","674",35,"19","47",
Flavio Rodrigues de Souza,Flavio Rodrigues de Souza,22/05/2014,33 anos 09 meses 23 dias,11,"133","564",16,"26","41",
Dewson Fernando Freitas da Silva,Dewson Fernando Freitas da Silva,04/08/2011,,9,"120","628",16,"9","33",
Paulo César de Oliveira,Paulo César de Oliveira,23/04/2006,32 anos 04 meses 07 dias,8,"118","555",29,"19","30",
Bruno Arleu de Araújo,Bruno Arleu de Araújo,21/06/2015,32 anos 04 meses 07 dias,10,"113","575",12,"11","35",
Elmo Alves Resende Cunha,Elmo Alves Resende Cunha,03/05/2007,,11,"105","525",27,"12","22",GO
Jailson Macedo Freitas,Jailson Macedo Freitas,02/12/2007,,12,"105","558",15,"11","26",BA
Wilson Luiz Seneme,Wilson Seneme,30/04/2006,35 anos 07 meses 02 dias,8,"102","504",20,"23","20",
