abbreviation,team,region
AME,America-MG,MG
ARN,America-RN,RN
CAP,Athetico-PR,PR
ACG,Atletico-GO,GO
CAM,Atletico-MG,MG
AVA,Avai,SC
BAH,Bahia,BA
BAR,Barueri,SP
BOT,Botafogo-RJ,RJ
RBB,Bragantino,SP
BSE,Brasiliense,DF
CEA,Ceara,CE
CHA,Chapecoense,SC
COR,Corinthians,SP
CFC,Coritiba,PR
CRI,Criciuma,SC
CRU,Cruzeiro,MG
CSA,CSA,AL
CUI,Cuiaba,MS
FIG,Figueirense,SC
FLA,Flamengo,RJ
FLU,Fluminense,RJ
FOR,Fortaleza,CE
GOI,Goias,GO
GRE,Gremio,RS
GRP,Gremio Prudente,SP
GUA,Guarani,SP
INT,Internacional,RS
IPA,Ipatinga,MG
JOI,Joinville,SC
JUV,Juventude,RS
NAU,Nautico,PE
PAL,Palmeiras,SP
PAR,Parana,PR
PAY,Paysandu,PA
PON,Ponte Preta,SP
POR,Portuguesa,SP
SAC,Sao Caetano,SP
SAO,Sao Paulo,SP
STA,Santa Cruz,PE
SAA,Santo Andre,SP
SAN,Santos,SP
SPO,Sport,PE
VAS,Vasco,RJ
VIT,Vitoria,BA
