championship,round,date,time,day_of_week,home_team,away_team,winner,stadium,home_team_score,away_team_score,home_team_region,away_team_region,winner_region
2003,1,29/03/2003,16h00,Sabado,Athletico-PR,Gremio,Athletico-PR,Arena da Baixada,2,0,PR,RS,PR
2003,1,29/03/2003,16h00,Sabado,Guarani,Vasco,Guarani,Brinco de Ouro,4,2,SP,RJ,SP
2003,1,30/03/2003,16h00,Domingo,Fortaleza,Bahia,-,Castelao,0,0,CE,BA,-
2003,1,30/03/2003,16h00,Domingo,Flamengo,Coritiba,-,Maracana,1,1,RJ,PR,-
2003,1,30/03/2003,16h00,Domingo,Vitoria,Figueirense,-,Barradao,1,1,ES,SC,-
2003,1,30/03/2003,18h00,Domingo,Santos,Parana,-,Vila Belmiro,2,2,SP,PR,-
2003,1,30/03/2003,16h00,Domingo,Goias,Paysandu,-,Serra Dourada,2,2,GO,PA,-
2003,1,30/03/2003,16h00,Domingo,Internacional,Ponte Preta,-,Beira Rio,1,1,RS,SP,-
2003,1,30/03/2003,16h00,Domingo,Cruzeiro,Sao Caetano,-,Mineirao,2,2,MG,SP,-
2003,1,30/03/2003,16h00,Domingo,Juventude,Sao Paulo,-,Alfredo Jaconi,2,2,RS,SP,-
2003,1,30/03/2003,18h00,Domingo,Corinthians,Atletico-MG,Atletico-MG,Pacaembu,0,3,SP,MG,MG
2003,1,30/03/2003,16h00,Domingo,Criciuma,Fluminense,Criciuma,Heriberto Hulse,2,0,SC,RJ,SC
2003,2,05/04/2003,16h00,Sabado,Fluminense,Fortaleza,-,Maracana,1,1,RJ,CE,-
2003,2,05/04/2003,16h00,Sabado,Atletico-MG,Santos,-,Mineirao,0,0,MG,SP,-
2003,2,05/04/2003,18h00,Sabado,Gremio,Guarani,Gremio,Olimpico Monumental,3,1,RS,SP,RS
2003,2,05/04/2003,16h00,Sabado,Coritiba,Internacional,Internacional,Couto Pereira,0,1,PR,RS,RS
2003,2,06/04/2003,16h00,Domingo,Figueirense,Corinthians,-,Orlando Scarpelli,3,3,SC,SP,-
2003,2,06/04/2003,18h00,Domingo,Sao Paulo,Cruzeiro,Cruzeiro,Morumbi,2,4,SP,MG,MG
2003,2,06/04/2003,16h00,Domingo,Bahia,Flamengo,Flamengo,Fonte Nova,1,2,BA,RJ,RJ
2003,2,06/04/2003,16h00,Domingo,Parana,Athletico-PR,Parana,Pinheirao,3,0,PR,PR,PR
2003,2,06/04/2003,16h00,Domingo,Ponte Preta,Juventude,Ponte Preta,Moises Lucarelli,1,0,SP,RS,SP
2003,2,06/04/2003,16h00,Domingo,Sao Caetano,Criciuma,Sao Caetano,Anacleto Atletico-MGpanella,3,2,SP,SC,SP
2003,2,06/04/2003,18h00,Domingo,Vasco,Goias,Vasco,Sao Januario,6,4,RJ,GO,RJ
2003,2,06/04/2003,16h00,Domingo,Paysandu,Vitoria,Vitoria,Mangueirao,1,2,PA,ES,ES
2003,4,09/04/2003,21h40,Quarta-feira,Paysandu,Santos,Paysandu,Mangueirao,2,1,PA,SP,PA
2003,3,12/04/2003,16h00,Sabado,Athletico-PR,Atletico-MG,Atletico-MG,Arena da Baixada,1,2,PR,MG,MG
